ID;AU;AL;AM;EN;RU
1;Ա;ա;[aɪb];a [ɑ];
2;Բ;բ;[bɛn];b [b];
3;Գ;գ;[gim];g [g];
4;Դ;դ;[dɑ];d [d];
5;Ե;ե;[jɛtʃʰ];e [ɛ][jɛ];
6;Զ;զ;[zɑ];z [z];
7;Է;է;[ɛ];ē [ɛ];
8;Ը;ը;[ətʰ];ə [ə];
9;Թ;թ;[tʰo];t‘ [tʰ];
10;Ժ;ժ;[ʒɛ];ž [ʒ];
11;Ի;ի;[ini];i [i];
12;Լ;լ;[lʏn];l [l];
13;Խ;խ;[χɛ];x [χ];
14;Ծ;ծ;[tsʼɑ];c [tsʼ];
15;Կ;կ;[kʼɛn];k [kʼ];
16;Հ;հ;[ho];h [h];
17;Ձ;ձ;[dzɑ];j [dz];
18;Ղ;ղ;[ʁɑtʼ];ł [ʁ];
19;Ճ;ճ;[tʃʼɛ];č [tʃʼ];
20;Մ;մ;[mɛn];m [m];
21;Յ;յ;[hi];y [h][j];
22;Ն;ն;[nu];n [n][ŋ];
23;Շ;շ;[ʃɑ];š [ʃ];
24;Ո;ո;[vo];o [o][vo];
25;Չ;չ;[tʃʰɑ];č‘ [tʃʰ];
26;Պ;պ;[pʼɛ];p [pʼ];
27;Ջ;ջ;[ʤɛ];ǰ [ʤ];
28;Ռ;ռ;[rɑ];r̄ [r];
29;Ս;ս;[sɛ];s [s];
30;Վ;վ;[vɛv];v [v][ʋ];
31;Տ;տ;[tʼʏn];t [tʼ];
32;Ր;ր;[ɾɛ];r [ɾ];
33;Ց;ց;[tsʰo];c‘ [tsʰ];
34;Ւ;ւ;[hʏn];u [v];
35;Փ;փ;[pʰʏɹ];p‘ [pʰ];
36;Ք;ք;[kʰɛ];k‘ [kʰ];
37;և;և;[ev];ev [ev];
38;Օ;օ;[o];ô [o];
39;Ֆ;ֆ;[fɛ];f [f];