ID;AU;AL;AM;TX;RU
1;Ա;ա;[aɪb];a [ɑ];Айб
2;Բ;բ;[bɛn];b [b];Бен
3;Գ;գ;[gim];g [g];Гим
4;Դ;դ;[dɑ];d [d];Да
5;Ե;ե;[jɛtʃʰ];e [ɛ][jɛ];Эдж
6;Զ;զ;[zɑ];z [z];За
7;Է;է;[ɛ];ē [ɛ];Э
8;Ը;ը;[ətʰ];ə [ə];Ыт
9;Թ;թ;[tʰo];t‘ [tʰ];То
10;Ժ;ժ;[ʒɛ];ž [ʒ];Же
11;Ի;ի;[ini];i [i];Ини
12;Լ;լ;[lʏn];l [l];Льюн
13;Խ;խ;[χɛ];x [χ];Хе
14;Ծ;ծ;[tsʼɑ];c [tsʼ];Тьца
15;Կ;կ;[kʼɛn];k [kʼ];Кен
16;Հ;հ;[ho];h [h];Хо
17;Ձ;ձ;[dzɑ];j [dz];Дза
18;Ղ;ղ;[ʁɑtʼ];ł [ʁ];Гхат
19;Ճ;ճ;[tʃʼɛ];č [tʃʼ];Тче
20;Մ;մ;[mɛn];m [m];Мен
21;Յ;յ;[hi];y [h][j];Йи
22;Ն;ն;[nu];n [n][ŋ];Ну
23;Շ;շ;[ʃɑ];š [ʃ];Ша
24;Ո;ո;[vo];o [o][vo];Во
25;Չ;չ;[tʃʰɑ];č‘ [tʃʰ];Ча
26;Պ;պ;[pʼɛ];p [pʼ];Пе
27;Ջ;ջ;[ʤɛ];ǰ [ʤ];Дже
28;Ռ;ռ;[rɑ];r̄ [r];Ра
29;Ս;ս;[sɛ];s [s];Се
30;Վ;վ;[vɛv];v [v][ʋ];Вев
31;Տ;տ;[tʼʏn];t [tʼ];Тюн
32;Ր;ր;[ɾɛ];r [ɾ];Ре
33;Ց;ց;[tsʰo];c‘ [tsʰ];Цо
34;Ւ;ւ;[hʏn];u [v];Йюн
35;Փ;փ;[pʰʏɹ];p‘ [pʰ];Пьюр
36;Ք;ք;[kʰɛ];k‘ [kʰ];Ке
37;և;և;[ev];ev [ev];Ев
38;Օ;օ;[o];ô [o];О
39;Ֆ;ֆ;[fɛ];f [f];Фе